    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 7.680e-07 |
  2 |   2                3 5.750e-07 |
  3 |   3                4 4.510e-07 |
  4 |   3                4 4.650e-07 |
  5 |   4                5 4.290e-07 |
  6 |   4                5 4.260e-07 |
  7 |   5                7 3.984e-05 |
  8 |   5                7 5.420e-07 |
  9 |   5                6 4.350e-07 |
 10 |   6                8 5.470e-07 |
 11 |   6                9 1.053e-06 |
 12 |   6                8 4.610e-07 |
 13 |   7               10 5.400e-07 |
 14 |   7               12 5.840e-07 |
 15 |   7               12 5.300e-07 |
 16 |   7               10 4.420e-07 |
 17 |   8               12 5.350e-07 |
 18 |   8               14 6.120e-07 |
 19 |   8               14 5.840e-07 |
 20 |   8               13 5.880e-07 |
 21 |   9               16 4.663e-06 |
 22 |   9               18 7.060e-07 |
 23 |   9               19 6.750e-07 |
 24 |   9               19 7.350e-07 |
 25 |   9               12 1.377e-06 |
 26 |  10               14 6.850e-07 |
 27 |  10               15 7.000e-07 |
 28 |  10               14 5.980e-07 |
 29 |  10               12 5.140e-07 |
 30 |  11               14 5.280e-07 |
 31 |  11               14 1.201e-06 |
 32 |  11               13 9.670e-07 |
 33 |  12               15 5.280e-07 |
 34 |  12               15 5.220e-07 |
 35 |  12               14 7.140e-07 |
 36 |  13               16 6.470e-07 |
 37 |  13               16 6.250e-07 |
 38 |  13               15 5.150e-07 |
 39 |  14               17 5.530e-07 |
 40 |  14               18 5.640e-07 |
 41 |  14               17 5.170e-07 |
 42 |  15               19 8.370e-07 |
 43 |  15               21 6.840e-07 |
 44 |  15               21 6.480e-07 |
 45 |  15               18 1.073e-06 |
 46 |  16               20 5.920e-07 |
 47 |  16               21 6.090e-07 |
 48 |  16               20 1.608e-06 |
 49 |  16               18 5.760e-07 |
 50 |  17               19 5.960e-07 |
 55 |  19               21 1.692e-06 |
 60 |  22               24 8.360e-07 |
 65 |  24               27 7.740e-07 |
 70 |  26               30 7.270e-07 |
 75 |  27               34 8.030e-07 |
 80 |  28               40 1.102e-06 |
 85 |  29               43 1.007e-06 |
 90 |  31               38 1.343e-06 |
 95 |  33               40 1.099e-06 |
100 |  36               43 1.013e-06 |
110 |  40               48 1.857e-06 |
120 |  43               55 1.105e-06 |
130 |  45               61 1.134e-06 |
140 |  47               64 1.127e-06 |
150 |  49               69 1.297e-06 |
160 |  53               61 1.241e-06 |
170 |  58               66 1.075e-06 |
180 |  61               73 1.101e-06 |
190 |  63               76 1.226e-06 |
200 |  65               85 1.467e-06 |
220 |  72               81 1.983e-06 |
240 |  79               90 1.352e-06 |
260 |  83               94 1.317e-06 |
280 |  91              101 4.025e-05 |
300 |  99              113 4.996e-06 |
320 | 104              119 1.893e-06 |
340 | 114              130 1.820e-06 |
360 | 118              137 1.843e-06 |
380 | 122              148 2.196e-06 |
400 | 132              150 2.033e-06 |
420 | 137              160 3.439e-06 |
440 | 143              163 2.501e-06 |
460 | 151              171 5.517e-06 |
480 | 156              185 2.518e-06 |
500 | 162              181 2.378e-06 |
520 | 170              193 2.458e-06 |
540 | 174              216 2.873e-06 |
560 | 181              204 2.839e-06 |
580 | 188              216 2.788e-06 |
600 | 192              225 3.023e-06 |
620 | 199              225 5.092e-06 |
640 | 206              237 2.990e-06 |
660 | 210              236 3.090e-06 |
680 | 216              242 3.159e-06 |
700 | 224              254 3.992e-06 |
720 | 229              259 3.932e-06 |
740 | 238              268 3.859e-06 |
760 | 242              275 3.968e-06 |
780 | 246              277 4.091e-06 |
800 | 256              288 7.838e-06 |
--- + --- ---------------- --------- +
