 n sin(n)      cos(n)
-- --- -----------------
 1 0.017452 0.999847695156391
 2 0.034899 0.999390827019096
 3 0.052336 0.998629534754574
 4 0.069756 0.997564050259824
 5 0.087156 0.996194698091746
 6 0.104528 0.994521895368273
 7 0.121869 0.992546151641322
 8 0.139173 0.990268068741570
 9 0.156434 0.987688340595138
10 0.173648 0.984807753012208
11 0.190809 0.981627183447664
12 0.207912 0.978147600733806
13 0.224951 0.974370064785235
14 0.241922 0.970295726275996
15 0.258819 0.965925826289068
16 0.275637 0.961261695938319
17 0.292372 0.956304755963035
18 0.309017 0.951056516295154
19 0.325568 0.945518575599317
20 0.342020 0.939692620785908
21 0.358368 0.933580426497202
22 0.374607 0.927183854566787
23 0.390731 0.920504853452440
24 0.406737 0.913545457642601
25 0.422618 0.906307787036650
26 0.438371 0.898794046299167
27 0.453990 0.891006524188368
28 0.469472 0.882947592858927
29 0.484810 0.874619707139396
30 0.500000 0.866025403784439
31 0.515038 0.857167300702112
32 0.529919 0.848048096156426
33 0.544639 0.838670567945424
34 0.559193 0.829037572555042
35 0.573576 0.819152044288992
36 0.587785 0.809016994374947
37 0.601815 0.798635510047293
38 0.615661 0.788010753606722
39 0.629320 0.777145961456971
40 0.642788 0.766044443118978
41 0.656059 0.754709580222772
42 0.669131 0.743144825477394
43 0.681998 0.731353701619171
44 0.694658 0.719339800338651
45 0.707107 0.707106781186548
46 0.719340 0.694658370458997
47 0.731354 0.681998360062498
48 0.743145 0.669130606358858
49 0.754710 0.656059028990507
50 0.766044 0.642787609686539
51 0.777146 0.629320391049838
52 0.788011 0.615661475325658
53 0.798636 0.601815023152048
54 0.809017 0.587785252292473
55 0.819152 0.573576436351046
56 0.829038 0.559192903470747
57 0.838671 0.544639035015027
58 0.848048 0.529919264233205
59 0.857167 0.515038074910054
60 0.866025 0.500000000000000
61 0.874620 0.484809620246337
62 0.882948 0.469471562785891
63 0.891007 0.453990499739547
64 0.898794 0.438371146789077
65 0.906308 0.422618261740699
66 0.913545 0.406736643075800
67 0.920505 0.390731128489274
68 0.927184 0.374606593415912
69 0.933580 0.358367949545300
70 0.939693 0.342020143325669
71 0.945519 0.325568154457157
72 0.951057 0.309016994374947
73 0.956305 0.292371704722737
74 0.961262 0.275637355816999
75 0.965926 0.258819045102521
76 0.970296 0.241921895599668
77 0.974370 0.224951054343865
78 0.978148 0.207911690817759
79 0.981627 0.190808995376545
80 0.984808 0.173648177666930
81 0.987688 0.156434465040231
82 0.990268 0.139173100960066
83 0.992546 0.121869343405147
84 0.994522 0.104528463267653
85 0.996195 0.087155742747658
86 0.997564 0.069756473744125
87 0.998630 0.052335956242944
88 0.999391 0.034899496702501
89 0.999848 0.017452406437283
90 1.000000 0.000000000000000
